,Knowledge representation and reasoning_CAI_01,Automated planning and scheduling_CAI_02,Machine learning_CAI_03,Natural language processing_CAI_04,Machine perception_CAI_05,Computer vision_CAI_06,Speech recognition_CAI_07,Robotics_CAI_08,Affective computing_CAI_09,Deep learning_CAI_10,Information retrieval_CAI_11,Computer science_CAI_12,Data mining_CAI_14,Commonsense knowledge_CAI_15,Intelligent agent_CAI_16,Master_Similarity
2718,0.47,0.70,0.66,0.10,0.92,1.00,0.52,1.00,0.62,0.49,0.39,0.19,0.46,0.10,0.57,0.90
135,0.61,0.55,0.57,0.15,0.80,1.00,0.54,0.62,0.74,0.46,0.74,0.59,0.37,0.10,0.45,0.90
2167,0.34,0.32,0.85,0.37,0.29,0.25,0.30,0.10,0.50,0.31,0.35,0.47,1.00,0.22,0.37,0.90
143,0.72,0.48,0.58,0.19,0.83,0.61,1.00,0.68,0.90,0.31,0.78,0.10,0.25,0.18,0.62,0.90
2161,0.57,0.37,0.46,0.38,0.50,0.59,0.59,0.10,0.38,0.76,0.47,0.66,0.56,0.11,1.00,0.90
238,0.38,0.39,0.67,0.17,0.33,0.48,0.32,0.10,0.41,0.28,0.61,0.32,1.00,0.31,0.47,0.90
699,0.81,1.00,0.75,0.10,0.61,0.60,0.55,0.83,0.45,0.35,0.82,0.70,0.54,0.52,0.67,0.90
2848,0.48,0.24,0.53,0.48,0.34,0.10,0.33,0.40,1.00,0.23,0.16,0.15,0.34,0.37,0.44,0.90
261,0.56,0.64,0.68,0.83,0.64,0.50,0.43,0.59,1.00,0.47,0.10,0.67,0.28,0.77,0.83,0.90
866,0.34,1.00,0.56,0.10,0.37,0.36,0.24,0.53,0.24,0.38,0.32,0.29,0.66,0.14,0.65,0.90
146,0.50,0.72,0.58,0.75,0.78,0.39,0.26,1.00,0.32,0.42,0.38,0.38,0.64,0.10,0.65,0.90
1929,0.38,0.44,0.41,0.43,0.37,0.11,0.71,0.41,0.80,0.10,0.44,0.13,0.50,0.36,1.00,0.90
1932,0.66,1.00,0.85,0.11,0.79,0.66,0.27,0.95,0.53,0.68,0.17,0.18,0.10,0.15,0.70,0.90
2795,0.57,0.38,0.88,0.46,0.39,0.67,0.41,0.10,0.66,0.66,0.49,1.00,0.83,0.42,0.54,0.90
683,0.70,0.78,0.60,0.24,0.37,0.58,0.92,0.70,0.49,0.23,1.00,0.23,0.81,0.10,0.78,0.90
1909,0.69,0.61,0.54,0.54,0.51,0.39,1.00,0.10,0.94,0.24,0.78,0.10,0.59,0.37,0.82,0.90
884,0.29,0.62,0.63,0.54,0.25,0.42,1.00,0.61,0.74,0.13,0.42,0.10,0.74,0.23,0.73,0.90
2887,0.34,0.25,0.92,0.25,0.29,0.32,0.20,0.10,0.51,0.32,0.26,0.46,1.00,0.25,0.39,0.90
2734,0.68,0.86,0.84,0.11,0.72,0.65,0.45,1.00,0.79,0.67,0.11,0.51,0.10,0.14,0.53,0.90
2870,0.50,0.67,0.60,0.33,0.74,0.79,0.54,1.00,0.54,0.61,0.10,0.34,0.42,0.11,0.50,0.90
118,0.26,0.10,0.82,0.54,0.42,0.34,0.25,0.27,0.73,0.47,0.41,0.58,1.00,0.40,0.55,0.90
240,0.90,0.46,0.92,0.10,0.54,0.47,0.47,0.11,0.84,0.50,1.00,0.89,0.87,0.25,0.50,0.90
855,0.62,0.64,0.71,0.45,0.14,0.18,0.53,0.26,0.27,0.10,0.41,0.31,1.00,0.13,0.73,0.90
2904,0.45,0.49,0.56,0.39,0.52,0.50,0.72,0.10,0.52,0.29,0.79,0.34,1.00,0.28,0.63,0.90
1883,0.61,0.53,0.73,0.32,0.33,0.28,0.25,0.10,0.54,0.13,0.65,0.38,1.00,0.31,0.43,0.90
149,0.56,0.71,0.52,0.62,0.55,0.41,0.34,0.62,0.55,0.47,0.10,0.35,0.18,0.54,1.00,0.90
248,0.75,0.50,0.61,0.61,0.57,0.32,0.65,0.19,0.78,0.42,0.24,0.10,0.20,0.69,1.00,0.90
885,0.57,0.34,0.87,0.10,0.96,1.00,0.14,0.35,0.93,0.82,0.36,0.34,0.27,0.34,0.57,0.90
1886,0.46,0.47,0.79,0.27,0.31,0.34,0.18,0.10,0.44,0.18,0.33,0.34,1.00,0.29,0.32,0.90
708,0.65,0.58,0.60,0.41,0.45,0.56,0.74,0.18,0.47,0.27,1.00,0.31,0.83,0.10,0.61,0.90
2867,0.49,0.50,0.22,0.35,0.35,0.27,0.30,0.10,0.55,0.24,0.27,0.25,0.48,0.26,1.00,0.90
235,0.44,0.63,0.59,0.38,0.76,0.61,0.26,1.00,0.48,0.40,0.10,0.29,0.26,0.29,0.59,0.90
2825,0.28,0.57,0.52,0.33,0.46,0.30,0.63,0.68,0.59,0.10,0.26,0.63,0.35,0.47,1.00,0.90
2905,0.40,0.28,0.91,0.33,0.24,0.35,0.21,0.10,0.49,0.16,0.48,0.46,1.00,0.16,0.45,0.90
2068,0.81,0.83,0.53,0.10,0.51,0.46,0.16,0.89,0.91,0.59,0.26,0.51,0.10,0.11,1.00,0.90
236,0.68,0.57,0.59,0.30,0.27,0.27,0.35,0.10,0.44,0.23,0.74,0.31,1.00,0.24,0.75,0.90
169,0.52,0.31,0.61,0.49,0.26,0.10,0.42,0.54,1.00,0.26,0.44,0.23,0.59,0.63,0.71,0.90
1969,1.00,0.70,0.74,0.19,0.33,0.55,0.50,0.94,0.65,0.43,0.90,0.72,0.88,0.10,0.43,0.90
834,0.65,0.59,0.71,0.27,0.44,0.31,0.54,0.44,0.83,0.31,0.72,1.00,0.61,0.10,0.34,0.90
836,0.56,0.47,0.75,0.23,0.36,0.42,0.29,0.13,0.46,0.18,0.72,0.10,1.00,0.48,0.60,0.90
1955,0.50,0.67,0.77,0.11,0.41,0.35,0.65,0.15,0.60,0.13,0.74,0.18,1.00,0.10,0.43,0.90
845,1.00,0.93,0.76,0.12,0.55,0.52,0.21,0.92,0.61,0.25,0.91,0.90,0.44,0.10,0.90,0.90
1948,0.94,0.89,0.67,0.56,0.49,0.18,0.48,0.10,0.86,0.28,0.57,0.33,0.29,0.67,1.00,0.90
2763,0.43,0.58,0.56,0.23,0.15,0.51,0.44,0.34,0.58,0.37,0.68,0.73,1.00,0.10,0.60,0.90
2759,0.16,0.16,1.00,0.27,0.29,0.26,0.18,0.10,0.53,0.22,0.23,0.42,0.90,0.13,0.56,0.90
2087,0.61,0.98,0.97,0.11,0.37,0.21,0.81,0.12,1.00,0.10,0.79,0.20,1.00,0.56,0.92,0.90
2084,1.00,0.83,0.54,0.14,0.37,0.39,0.50,0.41,0.51,0.27,0.97,0.62,0.55,0.10,0.90,0.90
2006,0.46,0.35,0.79,0.19,0.22,0.30,0.26,0.10,0.41,0.22,0.47,0.33,1.00,0.14,0.42,0.90
2007,0.74,0.66,0.70,0.30,0.21,0.35,0.67,0.19,0.70,0.39,0.47,0.10,0.56,0.84,1.00,0.90
206,0.63,0.86,0.59,0.10,0.57,0.51,0.38,1.00,0.47,0.36,0.29,0.45,0.43,0.32,0.53,0.90
769,0.88,0.58,0.97,0.95,0.80,0.61,0.10,0.71,0.85,0.60,0.20,1.00,0.37,0.77,0.97,0.90
198,0.58,0.28,0.85,0.33,0.24,0.11,0.33,0.16,0.64,0.10,0.59,0.19,1.00,0.13,0.47,0.90
772,0.45,0.10,1.00,0.62,0.67,0.50,0.34,0.65,0.81,0.47,0.44,0.97,0.83,0.37,0.46,0.90
2789,0.48,0.91,0.52,0.44,0.57,0.55,0.63,1.00,0.44,0.44,0.70,0.10,0.75,0.31,0.67,0.90
2048,0.60,0.47,0.65,0.37,0.88,1.00,0.59,0.60,0.80,0.68,0.47,0.79,0.44,0.10,0.38,0.90
2047,0.79,0.48,0.77,0.71,0.43,0.51,0.10,0.67,0.56,0.46,0.47,1.00,0.51,0.36,0.62,0.90
2785,0.27,0.13,1.00,0.48,0.42,0.20,0.10,0.18,0.65,0.43,0.14,0.63,0.76,0.31,0.55,0.90
2808,0.48,0.43,0.81,0.78,0.43,0.22,0.10,0.46,0.88,0.29,0.10,0.83,0.37,0.36,1.00,0.90
798,0.44,0.90,0.46,0.46,0.50,0.56,0.45,1.00,0.65,0.48,0.47,0.54,0.43,0.10,0.50,0.90
190,0.96,0.62,0.65,0.77,0.44,0.47,0.64,0.10,0.77,0.29,1.00,0.41,0.78,0.65,1.00,0.90
2816,0.39,0.49,0.63,0.10,0.71,0.64,0.60,0.12,1.00,0.54,0.92,0.16,0.67,0.20,0.46,0.90
2026,0.26,0.26,0.85,0.39,0.31,0.30,0.30,0.10,0.48,0.28,0.48,0.44,1.00,0.32,0.45,0.90
2817,0.25,0.41,0.81,0.53,0.68,0.62,0.36,0.49,0.78,1.00,0.10,0.85,0.40,0.32,0.78,0.90
2021,1.00,0.47,0.77,0.32,0.24,0.10,0.34,0.29,0.57,0.25,0.66,0.64,0.81,0.24,0.56,0.90
2016,0.71,0.55,0.57,0.70,0.77,1.00,0.81,0.72,0.56,0.10,0.69,0.38,0.60,0.19,0.60,0.90
3428,0.62,1.00,0.77,0.28,0.82,0.57,0.27,0.99,0.70,0.56,0.17,0.78,0.10,0.35,0.99,0.90
590,0.29,0.39,0.92,0.45,0.89,0.60,0.28,1.00,0.63,0.68,0.10,0.26,0.22,0.30,0.64,0.90
1140,0.35,0.35,0.65,0.49,0.42,0.53,0.13,0.37,0.32,0.48,0.45,0.57,1.00,0.10,0.47,0.90
413,0.44,0.39,0.94,0.45,0.80,0.75,0.13,0.49,0.59,1.00,0.10,0.35,0.15,0.22,0.77,0.90
2221,0.50,0.32,0.74,0.45,0.89,0.62,0.27,0.58,0.66,1.00,0.10,0.42,0.11,0.33,0.84,0.90
2373,1.00,0.74,0.68,0.55,0.31,0.37,0.34,0.61,0.46,0.10,0.66,0.51,0.58,0.54,0.69,0.90
2376,0.69,0.32,0.93,0.74,0.12,0.10,0.80,0.54,0.76,0.13,0.69,0.38,1.00,0.28,0.80,0.90
2653,0.45,0.87,0.73,0.33,0.55,0.24,0.10,0.45,0.44,0.70,0.11,0.33,0.10,0.31,1.00,0.90
2246,0.82,0.68,0.81,0.82,0.55,0.10,0.45,0.54,0.86,0.23,0.34,0.11,0.18,0.62,1.00,0.90
2237,0.60,0.45,0.85,0.54,0.64,0.28,1.00,0.48,0.97,0.57,0.31,0.10,0.23,0.72,0.72,0.90
540,0.71,0.70,0.32,0.48,0.38,0.42,0.38,0.32,0.49,0.10,0.43,0.11,0.54,0.38,1.00,0.90
2411,0.26,0.24,0.80,0.48,0.67,0.55,0.38,0.37,1.00,0.79,0.10,0.31,0.21,0.42,0.54,0.90
2654,0.59,0.87,0.48,0.47,0.74,0.66,0.85,1.00,0.61,0.60,0.77,0.10,0.69,0.57,0.93,0.90
2531,0.29,0.18,0.89,0.29,0.32,0.31,0.18,0.10,0.52,0.27,0.42,0.47,1.00,0.27,0.46,0.90
414,0.63,0.59,0.68,0.67,0.55,0.29,0.10,0.77,0.60,0.30,0.19,0.47,0.23,0.55,1.00,0.90
541,0.65,0.55,0.57,0.56,0.52,0.68,0.48,0.89,0.49,0.70,0.69,1.00,0.56,0.10,0.80,0.90
2231,0.14,0.10,1.00,0.52,0.49,0.35,0.23,0.13,0.67,0.43,0.12,0.16,0.54,0.17,0.30,0.90
544,0.50,0.46,0.57,0.52,0.36,0.31,0.33,0.10,0.44,0.32,0.38,0.39,0.46,0.65,1.00,0.90
646,1.00,0.53,0.63,0.32,0.34,0.26,0.16,0.50,0.59,0.30,0.64,0.92,0.50,0.10,0.64,0.90
512,0.50,0.35,0.77,0.15,0.31,0.34,0.18,0.13,0.47,0.19,0.45,0.24,1.00,0.10,0.32,0.90
2698,0.43,0.74,0.70,0.55,0.67,0.52,0.20,1.00,0.67,0.80,0.10,0.36,0.14,0.19,0.84,0.90
561,0.57,0.32,0.68,0.56,0.61,0.43,0.28,0.10,0.60,0.47,1.00,0.13,0.49,0.41,0.59,0.90
2205,0.31,0.12,1.00,0.23,0.72,0.56,0.10,0.30,0.65,0.66,0.33,0.48,0.96,0.15,0.37,0.90
2427,0.82,0.68,0.88,0.75,0.27,0.11,0.75,0.23,0.49,0.10,0.40,0.33,1.00,0.26,0.68,0.90
428,0.63,0.54,0.65,0.19,0.87,1.00,0.34,0.76,0.63,0.72,0.40,0.38,0.43,0.10,0.35,0.90
427,0.73,0.91,0.73,0.78,0.24,0.26,0.58,0.58,0.56,0.28,0.73,0.10,1.00,0.49,0.76,0.90
2337,0.29,0.44,0.63,0.46,0.64,0.48,0.36,1.00,0.88,0.54,0.10,0.41,0.16,0.31,0.66,0.90
2506,0.82,0.55,0.32,0.10,0.87,0.73,0.49,0.99,0.81,0.38,0.38,0.21,0.38,0.13,1.00,0.90
2554,0.48,0.24,0.32,0.27,0.26,0.14,0.31,0.20,0.74,0.24,0.10,0.28,0.39,0.28,1.00,0.90
2676,0.60,0.74,0.54,0.71,0.48,0.27,0.79,0.10,0.47,0.56,0.52,0.29,1.00,0.48,0.95,0.90
2618,0.87,0.90,0.52,0.35,1.00,0.87,0.67,0.86,0.43,0.81,0.88,0.49,0.60,0.10,0.70,0.90
2405,0.74,1.00,0.40,0.44,0.53,0.54,0.47,0.63,0.58,0.34,0.54,0.39,0.10,0.29,0.77,0.90
634,0.84,0.63,0.61,0.19,0.39,0.50,0.51,1.00,0.49,0.41,0.74,0.63,0.52,0.10,0.50,0.90
344,0.25,0.10,0.82,0.53,0.43,0.37,0.27,0.25,0.73,0.46,0.37,0.58,1.00,0.38,0.50,0.90
613,0.57,0.10,0.90,0.39,0.32,0.50,0.49,0.28,0.86,0.34,0.64,0.58,1.00,0.20,0.26,0.90
641,0.57,0.76,0.49,0.10,0.54,0.26,0.12,0.55,0.29,0.47,0.22,0.21,0.24,0.29,1.00,0.90
643,0.51,1.00,0.63,0.37,0.71,0.71,0.52,0.98,0.65,0.63,0.10,0.36,0.13,0.10,0.76,0.90
2639,0.32,0.63,0.57,0.41,0.44,0.31,0.66,0.70,0.57,0.10,0.29,0.59,0.42,0.57,1.00,0.90
393,0.62,0.22,0.59,0.29,0.46,0.10,0.57,0.41,1.00,0.27,0.72,0.45,0.44,0.22,0.45,0.90
1393,0.22,0.33,1.00,0.31,0.35,0.40,0.21,0.10,0.56,0.46,0.14,0.58,0.64,0.46,0.42,0.90
2446,0.29,0.21,1.00,0.25,0.38,0.47,0.26,0.10,0.69,0.60,0.19,0.50,0.90,0.20,0.29,0.90
453,0.51,0.82,0.50,0.20,0.72,0.65,0.43,1.00,0.48,0.33,0.41,0.10,0.38,0.38,0.67,0.90
295,1.00,0.92,0.79,0.50,0.32,0.32,0.42,0.82,0.72,0.10,0.86,0.55,0.67,0.50,0.58,0.90
580,1.00,0.91,0.56,0.27,0.42,0.36,0.48,0.10,0.63,0.12,0.67,0.59,0.76,0.27,0.61,0.90
441,0.35,0.38,0.83,0.41,0.72,1.00,0.35,0.60,0.54,0.76,0.47,0.45,0.91,0.10,0.26,0.90
2609,1.00,0.51,0.99,0.84,0.78,0.41,0.95,0.50,0.86,0.80,0.23,0.10,0.11,0.64,0.93,0.90
2563,0.31,0.34,0.67,0.46,0.37,0.47,0.10,0.34,0.32,0.44,0.33,0.51,1.00,0.14,0.44,0.90
460,0.79,0.96,0.70,0.49,0.60,0.83,0.10,0.71,0.39,1.00,0.43,0.88,0.71,0.31,0.74,0.90
2475,0.68,0.87,0.44,0.36,0.60,0.68,0.49,0.79,0.53,0.47,0.22,0.45,0.10,0.34,1.00,0.90
469,0.67,1.00,0.61,0.59,0.29,0.46,0.54,0.30,0.50,0.23,0.83,0.10,0.95,0.28,0.80,0.90
2281,0.22,0.11,0.91,0.75,0.61,0.70,0.32,0.40,1.00,0.10,0.26,0.82,0.53,0.34,0.81,0.90
439,0.58,0.98,0.47,0.38,0.44,0.37,0.52,0.99,0.57,0.70,0.56,0.76,0.47,0.10,1.00,0.90
2323,0.80,0.53,0.49,0.18,0.50,0.45,0.61,0.50,0.85,0.15,1.00,0.45,0.45,0.10,0.55,0.90
2283,1.00,0.59,0.70,0.40,0.31,0.34,0.38,0.56,0.67,0.10,0.66,0.85,0.70,0.26,0.43,0.90
546,0.97,0.83,0.51,0.10,0.52,0.72,0.44,1.00,0.69,0.51,0.78,0.59,0.32,0.10,0.70,0.90
2302,0.56,0.71,0.70,0.68,0.75,0.60,0.56,1.00,0.80,0.47,0.10,0.47,0.15,0.65,0.87,0.90
667,0.88,1.00,0.81,0.38,0.19,0.10,0.58,0.37,0.63,0.17,0.79,0.45,0.98,0.37,0.81,0.90
2448,0.64,0.67,0.91,0.42,0.32,0.47,0.60,0.10,0.62,0.11,1.00,0.81,0.98,0.36,0.88,0.90
378,0.39,0.85,0.75,0.23,0.89,0.91,0.64,1.00,0.84,0.19,0.40,0.29,0.45,0.10,0.39,0.90
2438,0.56,0.71,0.53,0.30,0.44,0.10,0.39,0.70,0.68,0.32,0.18,0.10,0.27,0.56,1.00,0.90
2575,0.33,0.30,0.88,0.53,0.69,1.00,0.38,0.71,0.82,0.73,0.30,0.34,0.10,0.37,0.56,0.90
2453,0.47,0.31,0.87,0.73,0.35,0.36,0.56,0.10,1.00,0.19,0.54,0.99,0.72,0.43,0.85,0.90
2648,0.76,1.00,0.44,0.10,0.53,0.54,0.39,0.78,0.96,0.45,0.31,0.49,0.26,0.43,0.74,0.90
296,0.33,0.27,0.81,0.18,0.29,0.34,0.10,0.24,0.44,0.21,0.36,0.31,1.00,0.16,0.38,0.90
563,0.80,0.64,0.91,0.21,0.18,0.30,0.38,0.16,0.58,0.10,0.77,0.54,1.00,0.28,0.51,0.90
2222,1.00,0.91,0.56,0.49,0.77,0.81,0.75,0.79,0.76,0.55,0.78,0.39,0.29,0.10,0.41,0.90
2354,0.36,0.71,0.45,0.20,0.32,0.30,0.52,0.21,0.55,0.68,0.78,0.28,0.35,0.10,1.00,0.90
547,0.28,0.48,1.00,0.53,0.46,0.59,0.10,0.54,0.56,0.40,0.49,0.75,0.93,0.14,0.30,0.90
520,0.54,0.32,0.79,0.35,0.36,0.28,0.17,0.10,0.26,0.34,0.60,0.37,1.00,0.36,0.65,0.90
2413,0.78,0.45,0.67,0.30,0.24,0.16,0.56,0.36,0.62,0.10,1.00,0.54,0.86,0.22,0.98,0.90
2570,0.63,0.74,0.75,0.40,0.32,0.49,0.34,0.16,0.73,0.40,0.10,0.72,0.12,0.53,1.00,0.90
2409,0.41,0.33,0.86,0.33,0.54,0.48,0.44,0.48,0.51,1.00,0.10,0.31,0.24,0.14,0.45,0.90
929,0.32,0.25,0.52,0.30,0.42,0.34,0.61,0.35,1.00,0.49,0.26,0.10,0.32,0.27,0.32,0.90
2943,0.91,1.00,0.71,0.58,0.70,0.53,0.82,0.95,0.52,0.81,0.23,0.49,0.10,0.24,0.85,0.90
949,0.43,1.00,0.62,0.12,0.43,0.33,0.81,0.58,0.67,0.10,0.76,0.14,0.68,0.20,0.66,0.90
2940,0.57,0.85,0.61,0.30,0.71,0.59,0.30,1.00,0.55,0.38,0.16,0.32,0.10,0.25,0.94,0.90
91,0.52,0.45,0.90,0.80,0.35,0.42,0.41,0.10,0.78,0.35,0.88,0.62,0.65,0.70,1.00,0.90
1837,0.74,0.80,0.84,0.69,0.50,0.41,0.95,1.00,0.82,0.10,0.70,0.58,0.74,0.60,0.56,0.90
942,1.00,0.66,0.76,0.52,0.14,0.16,0.81,0.64,0.64,0.32,0.85,0.10,0.71,0.44,0.80,0.90
108,0.49,0.41,0.66,0.41,0.31,0.34,0.18,0.10,0.53,0.18,0.74,0.33,1.00,0.44,0.68,0.90
3047,0.29,0.46,0.63,0.40,0.66,0.53,0.24,1.00,0.42,0.62,0.19,0.42,0.46,0.10,0.52,0.90
1857,0.52,0.84,0.50,0.25,0.69,0.68,0.59,1.00,0.36,0.55,0.52,0.40,0.66,0.10,0.64,0.90
1858,0.32,0.16,1.00,0.24,0.16,0.22,0.73,0.14,0.68,0.18,0.24,0.31,0.91,0.10,0.76,0.90
110,0.50,0.57,0.64,0.59,0.55,0.29,0.15,0.76,0.58,0.26,0.10,0.35,0.17,0.48,1.00,0.90
917,0.46,0.49,0.43,0.33,0.69,0.41,0.69,0.86,1.00,0.27,0.83,0.10,0.37,0.30,0.72,0.90
24,0.66,0.74,0.53,0.28,0.21,0.12,0.34,0.10,0.75,0.25,0.40,0.27,0.71,0.60,1.00,0.90
2906,0.53,0.56,0.37,0.46,0.40,0.26,0.55,0.10,0.47,0.56,0.68,0.50,0.37,0.24,1.00,0.90
1826,0.81,1.00,0.93,0.52,0.29,0.24,0.36,0.73,0.43,0.10,0.24,0.47,0.78,0.21,0.40,0.90
2948,0.94,0.46,0.82,0.58,0.32,0.42,0.45,0.10,0.49,0.11,0.49,0.11,0.92,0.68,1.00,0.90
276,0.83,0.81,0.38,0.59,0.52,0.46,0.84,0.44,0.51,0.40,0.85,0.10,0.67,0.39,1.00,0.90
1804,0.29,0.35,1.00,0.30,0.54,0.45,0.19,0.29,0.44,0.93,0.10,0.25,0.37,0.20,0.43,0.90
2970,0.69,0.51,0.67,0.55,0.93,0.86,0.67,0.85,0.70,1.00,0.45,0.33,0.10,0.50,0.93,0.90
66,1.00,0.55,0.83,0.46,0.39,0.50,0.32,0.38,0.60,0.10,0.62,0.92,0.79,0.54,0.54,0.90
1788,0.20,0.39,0.98,0.45,0.57,0.72,0.20,0.39,0.52,1.00,0.10,0.20,0.45,0.14,0.59,0.90
64,0.57,0.73,0.67,0.67,1.00,0.69,0.45,0.23,0.64,0.88,0.77,0.62,0.10,0.39,0.86,0.90
995,0.54,1.00,0.46,0.10,0.30,0.29,0.28,0.36,0.38,0.16,0.61,0.30,0.58,0.22,0.83,0.90
1004,0.61,0.97,0.60,0.33,0.42,0.20,0.37,0.40,0.37,0.50,0.10,0.16,0.23,0.23,1.00,0.90
1768,0.23,0.38,0.90,0.24,0.40,0.37,0.15,0.45,0.44,0.24,0.36,0.61,1.00,0.10,0.39,0.90
3008,0.88,0.92,0.55,0.10,0.81,0.93,0.71,0.92,1.00,0.56,0.91,0.46,0.43,0.28,0.56,0.90
1758,0.67,0.56,0.66,0.42,0.31,0.35,0.37,0.10,0.56,0.17,0.72,0.19,1.00,0.55,0.71,0.90
1021,0.42,0.14,0.89,0.30,0.82,0.93,0.44,0.64,1.00,0.70,0.35,0.13,0.38,0.10,0.33,0.90
1120,0.55,0.10,0.92,0.70,0.90,0.89,0.78,0.86,1.00,0.55,0.56,0.65,0.79,0.29,0.29,0.90
3164,0.40,0.94,0.64,0.42,0.54,0.52,0.92,0.62,1.00,0.34,0.37,0.40,0.10,0.14,0.56,0.90
306,0.41,0.52,0.80,0.40,0.95,0.63,0.33,1.00,0.69,0.59,0.10,0.16,0.12,0.42,0.81,0.90
3040,0.60,0.58,0.88,0.34,0.54,0.86,0.10,0.37,0.55,0.89,0.45,1.00,0.87,0.19,0.47,0.90
50,0.49,0.41,0.66,0.41,0.31,0.34,0.18,0.10,0.53,0.18,0.74,0.33,1.00,0.44,0.68,0.90
1600,1.00,0.83,0.69,0.29,0.30,0.35,0.53,0.56,0.36,0.10,0.61,0.55,0.46,0.38,0.64,0.90
1450,0.31,0.33,0.71,0.38,0.51,0.44,0.35,0.48,0.49,1.00,0.10,0.36,0.29,0.21,0.53,0.90
2213,0.96,1.00,0.78,0.37,0.66,0.63,0.10,0.98,0.34,0.14,0.29,0.34,0.61,0.40,0.78,0.90
3150,0.71,0.59,0.84,0.55,0.22,0.37,0.10,0.16,0.46,0.63,0.23,0.79,0.32,0.41,1.00,0.90
2349,0.73,0.78,0.56,0.35,0.51,0.59,0.73,0.64,0.72,0.50,1.00,0.57,0.16,0.10,0.60,0.90
3353,0.58,0.73,0.52,0.40,0.52,0.41,0.30,1.00,0.48,0.30,0.21,0.10,0.30,0.37,0.69,0.90
3043,0.63,1.00,0.50,0.41,0.27,0.24,0.35,0.10,0.48,0.14,0.33,0.17,0.54,0.21,0.93,0.90
3052,0.45,0.69,0.57,0.25,0.60,0.53,0.54,1.00,0.48,0.39,0.10,0.18,0.21,0.18,0.63,0.90
1045,0.27,0.50,0.67,0.20,0.39,0.33,0.27,0.35,0.21,0.27,0.42,0.10,1.00,0.21,0.49,0.90
16,0.17,0.10,0.94,0.62,0.75,0.32,0.13,0.41,1.00,0.14,0.57,0.25,0.40,0.13,0.54,0.90
3058,0.56,0.41,0.98,0.57,0.47,0.30,0.10,0.39,0.66,0.42,0.15,1.00,0.52,0.62,0.89,0.90
1697,0.63,0.52,0.81,0.68,0.67,0.37,1.00,0.35,0.88,0.49,0.55,0.10,0.37,0.76,0.70,0.90
1695,0.39,0.95,0.63,0.10,0.60,0.52,0.29,1.00,0.32,0.44,0.43,0.37,0.88,0.14,0.77,0.90
11,0.68,0.42,1.00,0.21,0.43,0.27,0.33,0.10,0.83,0.37,0.92,0.32,0.84,0.23,0.27,0.90
1689,0.75,0.33,0.69,0.40,0.33,0.26,0.46,0.10,0.32,0.32,0.69,0.34,1.00,0.28,0.71,0.90
1067,0.38,0.23,0.92,0.38,0.39,0.48,0.10,0.10,0.48,0.26,0.30,0.55,1.00,0.18,0.42,0.90
2182,0.48,0.49,0.68,0.19,0.36,0.57,0.45,0.39,0.37,0.37,0.82,0.30,1.00,0.10,0.36,0.90
1671,0.70,0.59,0.60,0.66,0.55,0.57,0.71,0.33,0.75,0.39,1.00,0.10,0.80,0.50,0.59,0.90
3107,0.76,0.75,0.44,0.44,0.41,0.68,0.73,0.45,0.63,0.18,1.00,0.51,1.00,0.10,0.84,0.90
1110,0.51,0.51,0.71,0.10,0.41,0.36,0.19,0.20,0.45,0.34,0.85,0.11,1.00,0.23,0.51,0.90
3132,0.81,0.95,0.72,0.49,0.69,0.69,0.10,1.00,0.56,0.38,0.15,0.68,0.23,0.42,0.98,0.90
1403,0.58,0.50,0.47,0.31,0.74,1.00,0.81,0.65,0.74,0.62,0.72,0.74,0.38,0.10,0.66,0.90
1408,0.69,0.52,0.44,0.51,0.23,0.36,0.35,0.10,0.44,0.45,0.52,0.36,0.56,0.49,1.00,0.90
3122,0.48,0.32,0.75,0.27,0.21,0.27,0.34,0.10,0.44,0.24,0.58,0.42,1.00,0.12,0.42,0.90
3117,0.54,0.66,0.30,0.10,0.35,0.49,0.55,0.37,0.45,0.20,0.48,0.63,0.56,0.13,1.00,0.90
3149,0.54,0.88,0.86,0.73,0.52,0.50,0.50,0.10,1.00,0.38,0.74,0.42,0.85,0.97,0.83,0.90
1428,0.44,0.69,0.48,0.37,0.40,0.38,0.24,0.50,0.39,0.33,0.10,0.41,0.17,0.42,1.00,0.90
3099,0.75,0.46,0.78,0.39,0.43,0.18,0.72,0.89,1.00,0.30,0.29,0.57,0.44,0.10,0.31,0.90
1086,0.40,0.30,0.75,0.63,0.52,0.41,0.10,0.43,0.97,0.44,0.24,1.00,0.66,0.20,0.55,0.90
3095,0.16,0.83,0.72,0.10,0.56,0.48,0.32,1.00,0.54,0.19,0.24,0.16,0.88,0.39,0.90,0.90
1661,0.61,0.96,0.60,0.44,0.74,0.86,0.94,1.00,0.78,0.23,0.77,0.10,0.67,0.48,0.71,0.90
1667,0.61,1.00,0.43,0.42,0.37,0.59,0.20,0.42,0.54,0.10,0.49,0.34,0.62,0.45,0.98,0.90
2121,0.63,0.73,0.76,0.38,0.94,0.89,0.49,0.88,0.67,1.00,0.10,0.30,0.10,0.33,0.67,0.89
3181,0.63,0.47,0.42,0.32,0.82,0.63,0.74,0.78,1.00,0.65,0.39,0.10,0.18,0.45,0.60,0.89
2873,0.78,0.79,0.76,0.91,0.55,0.35,1.00,0.38,0.85,0.51,0.51,0.10,0.34,0.84,0.95,0.89
