,Knowledge representation and reasoning_CKAI_01,Machine learning_CKAI_02,Deep learning_CKAI_03,Data mining_CKAI_04,Automated planning and scheduling_CKAI_05,Information retrieval_CKAI_06,Computer vision_CKAI_07,Affective computing_CKAI_08,Intelligent agent_CKAI_09,Machine perception_CKAI_10,Natural language processing_CKAI_11,Speech recognition_CKAI_12,Robotics_CKAI_13,Commonsense knowledge_CKAI_14,Computer science_CKAI_16,Master_Similarity
835,0.36,0.97,0.85,0.10,0.68,0.31,0.56,0.69,0.35,0.28,0.69,0.23,0.63,0.20,1.00,0.85
124,0.32,0.61,0.47,0.65,0.26,0.52,1.00,0.45,0.74,0.10,0.78,0.96,0.51,0.21,0.73,0.85
1507,0.66,0.76,0.41,0.50,0.35,0.33,0.45,0.10,0.60,0.36,0.62,0.30,0.53,0.52,1.00,0.85
3006,0.64,0.24,0.81,0.53,0.68,0.96,0.57,0.51,0.65,0.79,0.62,0.93,1.00,0.10,0.24,0.85
1019,0.62,0.72,0.79,1.00,0.64,0.33,0.62,0.45,0.91,0.62,0.13,0.36,0.10,0.82,1.00,0.85
1285,0.46,0.93,0.98,0.60,0.71,0.40,0.48,0.93,0.44,0.10,0.28,0.27,0.75,0.61,1.00,0.85
921,0.41,0.35,1.00,0.34,0.66,0.56,0.27,0.41,0.61,0.63,0.12,0.21,0.39,0.10,0.36,0.85
3123,0.84,0.88,0.31,0.63,0.15,0.40,1.00,0.29,0.82,0.10,0.99,0.53,0.48,0.52,0.93,0.85
2154,0.70,0.78,0.42,0.36,0.10,0.12,0.38,0.71,0.51,0.32,0.39,0.15,0.46,0.53,1.00,0.85
2409,0.41,0.33,0.86,0.47,0.54,0.48,0.44,0.48,0.51,1.00,0.10,0.27,0.24,0.14,0.45,0.85
290,0.73,0.57,1.00,0.63,0.53,0.52,0.42,0.10,0.71,0.30,0.78,0.83,0.73,0.27,0.71,0.85
2166,1.00,0.64,0.23,0.11,0.28,0.22,0.47,0.26,0.66,0.10,0.67,0.73,0.29,0.22,0.20,0.85
133,0.82,0.54,0.65,0.35,0.82,1.00,0.71,0.49,0.52,0.72,0.12,0.91,0.20,0.10,0.31,0.85
491,0.50,0.42,1.00,0.72,0.61,0.48,0.26,0.45,0.62,0.53,0.10,0.41,0.59,0.39,0.75,0.85
2569,0.74,0.46,0.38,0.58,0.26,0.34,0.76,0.29,0.55,0.20,1.00,0.65,0.77,0.10,0.63,0.85
2237,0.60,0.44,0.85,0.69,0.64,0.27,1.00,0.47,0.97,0.56,0.30,0.10,0.22,0.71,0.72,0.85
2663,0.34,0.27,0.28,0.35,0.47,0.66,0.41,1.00,0.39,0.34,0.38,0.80,0.20,0.10,0.17,0.85
2967,0.34,0.20,0.40,0.10,0.71,0.53,0.46,1.00,0.53,0.36,0.27,0.35,0.12,0.12,0.27,0.85
1958,0.36,0.32,0.52,0.36,0.63,0.66,0.48,0.44,0.53,1.00,0.18,0.26,0.10,0.24,0.41,0.85
1444,0.23,0.10,0.65,0.29,0.65,0.56,0.52,1.00,0.91,0.72,0.18,0.34,0.36,0.17,0.53,0.85
298,0.67,0.72,0.90,0.61,0.70,0.29,0.80,0.36,0.89,0.32,0.47,0.10,0.27,0.72,1.00,0.85
2820,0.71,0.62,0.84,0.64,0.57,0.34,0.33,0.30,0.69,0.42,0.35,0.10,0.49,0.55,1.00,0.85
2880,0.65,0.61,0.83,0.49,0.54,0.59,0.31,0.57,0.51,0.69,0.10,0.41,0.29,0.50,1.00,0.85
1451,0.55,0.60,0.67,0.58,0.62,0.83,0.10,0.42,0.42,0.25,0.80,0.47,1.00,0.43,0.51,0.85
199,0.58,0.64,0.41,0.57,0.41,0.47,0.10,0.49,0.44,0.51,0.42,0.43,0.14,0.54,1.00,0.85
3448,1.00,0.96,0.95,0.29,0.49,0.32,0.15,0.32,0.88,0.10,0.62,0.42,0.94,0.10,0.95,0.85
376,0.73,0.66,0.89,1.00,0.52,0.29,0.69,0.10,0.79,0.40,0.46,0.25,0.58,0.63,0.87,0.85
2538,0.67,0.53,1.00,0.52,0.41,0.22,0.10,0.51,0.56,0.35,0.30,0.10,0.64,0.32,0.70,0.85
1330,0.67,0.23,1.00,0.43,0.49,0.29,0.15,0.31,0.81,0.62,0.42,0.18,0.47,0.10,0.44,0.85
927,0.82,0.96,0.86,0.51,0.31,0.55,0.85,0.34,0.68,0.62,1.00,0.10,0.98,0.85,1.00,0.85
74,0.67,0.61,0.42,0.10,0.40,0.53,0.75,0.81,0.27,0.69,1.00,0.22,0.64,0.25,0.90,0.85
1286,0.40,0.25,0.47,0.37,0.49,0.31,1.00,0.57,0.99,0.24,0.72,0.10,0.38,0.43,0.56,0.85
242,0.48,0.26,1.00,0.35,0.76,0.89,0.34,0.63,0.92,0.85,0.38,0.10,0.36,0.36,0.36,0.85
2299,0.66,0.45,0.65,0.49,0.49,0.52,1.00,0.10,0.77,0.37,0.62,0.33,0.76,0.41,0.68,0.85
1626,0.48,0.51,0.55,0.37,0.61,0.86,0.10,0.67,0.44,0.32,1.00,0.50,0.25,0.51,0.54,0.85
1640,0.51,1.00,0.63,0.76,0.20,0.26,0.88,0.10,0.71,0.21,0.83,0.58,0.45,0.47,0.92,0.85
2049,0.77,0.90,0.90,0.60,0.41,0.56,0.85,0.40,0.86,0.30,0.75,0.10,0.92,0.94,1.00,0.85
1231,0.79,0.65,0.73,0.61,0.40,0.46,0.84,0.10,0.56,0.40,0.70,0.69,1.00,0.38,0.78,0.85
604,0.80,0.75,0.79,0.86,0.21,0.31,0.83,0.10,0.56,0.33,1.00,0.94,0.75,0.26,0.36,0.85
1254,0.57,0.40,0.69,1.00,0.60,0.66,0.83,0.29,0.85,0.10,0.78,0.69,0.69,0.54,0.73,0.85
1205,0.64,0.69,0.86,0.19,0.41,0.31,0.80,0.52,0.74,0.10,0.57,0.26,1.00,0.46,0.74,0.85
2493,0.44,0.30,1.00,0.54,0.51,0.54,0.55,0.29,0.74,0.33,0.51,0.28,0.81,0.10,0.56,0.85
2876,0.47,0.57,1.00,0.35,0.33,0.28,0.29,0.28,0.52,0.58,0.29,0.34,0.88,0.10,0.52,0.85
2711,0.50,0.95,0.24,0.49,0.10,0.85,0.41,0.92,0.31,0.54,0.77,1.00,0.40,0.26,0.98,0.85
2708,0.74,0.60,1.00,0.86,0.51,0.41,0.31,0.22,0.44,0.61,0.23,0.10,0.66,0.37,0.57,0.85
876,0.58,0.21,0.77,0.57,0.50,0.56,0.45,0.58,0.70,0.21,0.87,1.00,0.73,0.10,0.29,0.85
2957,0.69,0.79,0.62,0.46,0.43,0.82,0.10,0.58,0.53,0.43,0.61,0.63,0.64,0.78,1.00,0.85
1765,0.74,0.74,1.00,0.10,0.52,0.35,0.16,0.18,0.98,0.29,0.46,0.51,0.75,0.10,0.66,0.85
2399,0.45,0.39,1.00,0.58,0.50,0.40,0.43,0.10,0.63,0.55,0.63,0.34,0.72,0.31,0.49,0.85
3338,0.71,0.55,0.73,0.81,0.40,0.16,0.79,0.47,0.96,0.10,0.40,0.44,0.24,0.52,1.00,0.85
2189,0.10,0.15,0.63,0.62,0.45,0.30,0.72,0.75,1.00,0.50,0.32,0.38,0.38,0.48,0.60,0.85
2707,0.42,0.35,0.45,0.24,0.95,1.00,0.42,0.79,0.88,0.63,0.35,0.10,0.11,0.41,0.51,0.85
721,0.56,0.36,1.00,0.71,0.62,0.55,0.10,0.40,0.62,0.55,0.28,0.47,0.63,0.40,0.65,0.85
2540,0.75,0.71,0.57,0.36,0.51,0.36,0.10,0.49,0.39,0.59,0.18,0.10,0.30,0.13,1.00,0.85
2598,0.59,0.56,0.57,1.00,0.40,0.37,0.63,0.10,0.80,0.28,0.83,0.62,0.49,0.66,0.76,0.85
1215,0.54,0.33,0.92,0.70,0.88,0.49,0.27,0.51,0.97,0.65,0.90,0.10,0.93,0.46,1.00,0.85
2152,0.49,0.32,0.66,0.91,0.57,0.40,0.88,0.39,0.72,1.00,0.20,0.33,0.10,0.42,0.59,0.85
48,0.63,1.00,0.53,0.29,0.39,0.23,0.57,0.12,0.88,0.24,0.67,0.10,0.60,0.60,0.93,0.85
1188,0.31,0.59,1.00,0.60,0.74,0.88,0.28,0.46,0.70,0.93,0.10,0.42,0.32,0.28,0.75,0.85
2273,1.00,0.61,0.59,0.65,0.35,0.32,0.42,0.34,0.61,0.10,0.74,0.92,0.73,0.65,0.50,0.85
513,1.00,0.32,0.71,0.18,0.67,0.46,0.20,0.71,0.54,0.33,0.50,0.68,0.33,0.10,0.72,0.85
1153,0.57,0.49,0.58,0.49,0.27,0.51,0.48,0.28,0.58,0.10,0.64,1.00,0.62,0.29,0.37,0.85
3250,0.95,0.68,1.00,0.60,0.56,0.52,0.82,0.10,0.96,0.19,0.87,0.53,0.80,0.60,0.88,0.85
601,0.88,0.51,0.69,0.49,0.51,0.34,0.39,0.34,0.81,0.10,1.00,0.96,0.90,0.49,0.44,0.85
1149,0.76,0.95,1.00,0.65,0.30,0.46,0.53,0.38,0.51,0.10,0.60,0.94,0.99,0.16,0.86,0.85
1996,0.30,0.36,0.18,0.18,0.53,0.62,0.44,1.00,0.21,0.45,0.29,0.14,0.18,0.10,0.31,0.85
1972,0.43,0.47,0.62,0.68,0.43,0.79,0.27,0.57,0.57,0.10,0.84,0.68,1.00,0.12,0.69,0.85
2386,0.87,0.56,0.56,1.00,0.39,0.16,0.72,0.41,0.53,0.35,0.61,0.69,0.10,0.64,0.78,0.85
1438,0.29,0.10,1.00,0.93,0.32,0.37,0.49,0.73,0.76,0.87,0.66,0.36,0.68,0.34,0.36,0.85
3449,0.42,0.45,0.68,0.71,0.57,0.38,0.22,0.60,0.79,0.31,0.10,0.51,0.35,0.42,1.00,0.85
2330,0.72,0.55,0.68,0.60,0.80,0.86,0.14,0.76,0.79,1.00,0.10,0.33,0.16,0.61,0.96,0.85
1753,0.42,0.17,0.38,0.37,0.69,0.63,1.00,0.43,0.62,0.45,0.52,0.45,0.21,0.10,0.14,0.85
2891,0.74,0.56,0.46,0.19,0.34,0.34,0.30,0.25,0.55,0.61,0.48,0.22,0.49,0.10,1.00,0.85
2496,0.89,0.82,0.74,0.35,0.64,0.55,0.32,0.42,0.51,0.60,0.12,0.48,0.10,0.42,1.00,0.85
1374,0.67,0.79,0.79,0.51,0.36,0.22,0.10,0.27,0.59,0.68,0.17,0.33,0.51,0.26,1.00,0.85
263,0.71,0.65,0.62,0.42,0.60,0.27,0.10,0.84,0.64,0.35,0.10,0.11,0.23,0.45,1.00,0.85
1134,0.52,0.62,0.50,0.46,0.38,0.24,0.47,0.50,0.57,0.16,0.58,0.10,0.70,0.54,1.00,0.85
1516,0.57,0.61,0.49,0.65,0.38,0.14,0.41,0.46,0.56,0.17,0.32,0.10,0.23,0.41,1.00,0.85
2181,0.61,0.66,0.79,0.51,0.64,0.42,0.18,0.17,0.52,1.00,0.10,0.32,0.27,0.37,0.60,0.85
1024,0.89,0.58,0.91,0.55,0.22,0.10,0.85,0.51,0.82,0.22,0.65,0.17,0.76,0.22,1.00,0.85
398,0.54,0.55,1.00,0.53,0.72,0.52,0.17,0.44,0.78,0.66,0.10,0.20,0.43,0.48,0.86,0.85
1726,0.37,0.36,0.21,0.51,0.32,0.24,1.00,0.40,0.44,0.23,0.55,0.22,0.10,0.28,0.31,0.85
2600,0.59,0.53,1.00,0.58,0.74,0.43,0.38,0.35,0.83,0.41,0.10,0.26,0.31,0.61,0.70,0.85
1447,0.40,0.64,0.43,0.20,0.38,0.37,1.00,0.56,0.41,0.10,0.51,0.12,0.15,0.41,0.45,0.85
1459,0.30,0.27,1.00,0.60,0.69,0.50,0.42,0.33,0.76,0.66,0.10,0.27,0.47,0.17,0.29,0.85
394,0.43,0.60,0.72,0.42,0.57,0.41,0.39,0.47,0.76,0.38,0.10,0.23,0.31,0.53,1.00,0.85
665,0.56,0.59,1.00,0.78,0.63,0.40,0.21,0.26,0.86,0.89,0.10,0.26,0.42,0.41,0.88,0.85
4,0.37,0.39,0.52,0.27,0.85,1.00,0.40,0.77,0.60,0.71,0.14,0.32,0.10,0.25,0.39,0.85
2862,0.53,0.30,0.83,0.53,0.91,0.58,0.45,0.57,1.00,0.55,0.10,0.25,0.18,0.46,0.78,0.85
2400,0.40,0.63,1.00,0.40,0.75,0.81,0.10,0.46,0.41,0.67,0.20,0.17,0.56,0.20,0.45,0.85
728,1.00,0.90,0.81,0.43,0.10,0.18,0.98,0.28,0.54,0.26,0.66,0.61,0.77,0.13,0.79,0.85
1702,0.74,0.71,1.00,0.75,0.46,0.34,0.21,0.21,0.47,0.69,0.10,0.52,0.41,0.34,0.73,0.85
2653,0.48,0.88,0.74,0.48,0.57,0.28,0.15,0.48,0.47,0.72,0.16,0.10,0.15,0.34,1.00,0.85
2294,0.66,0.99,1.00,0.16,0.50,0.25,0.10,0.22,0.80,0.33,0.38,0.44,0.73,0.29,0.82,0.85
938,0.43,0.64,0.63,0.43,0.27,0.30,0.42,0.28,0.25,0.21,0.51,0.39,1.00,0.10,0.41,0.85
2815,0.45,0.43,0.45,0.22,0.31,0.49,0.53,0.36,0.51,0.22,0.39,1.00,0.32,0.10,0.20,0.85
1948,0.94,0.89,0.67,0.85,0.49,0.18,0.48,0.10,0.86,0.28,0.57,0.77,0.29,0.67,1.00,0.85
2979,0.53,0.55,0.67,0.38,0.55,0.36,0.30,0.39,0.56,0.52,0.28,0.10,0.33,0.46,1.00,0.85
2635,0.62,0.40,0.93,1.00,0.48,0.54,0.47,0.23,0.62,0.66,0.62,0.10,0.58,0.45,0.77,0.85
21,0.86,0.35,0.70,0.81,0.45,0.46,0.51,0.54,0.61,0.10,1.00,1.00,0.51,0.35,0.62,0.85
1708,0.73,0.61,1.00,0.81,0.53,0.57,0.23,0.10,0.66,0.76,0.32,0.84,0.49,0.52,0.60,0.85
2444,0.35,0.49,0.71,0.35,0.76,0.73,0.26,0.59,0.42,1.00,0.10,0.14,0.27,0.13,0.49,0.85
2038,0.84,0.41,0.49,0.30,0.48,0.61,0.22,0.67,0.68,0.31,0.10,1.00,0.22,0.28,0.46,0.85
2380,0.37,0.18,0.43,0.24,0.88,0.78,0.51,0.89,0.48,1.00,0.50,0.31,0.35,0.10,0.44,0.85
1155,0.60,0.59,1.00,0.69,0.30,0.40,0.31,0.10,0.67,0.61,0.49,0.66,0.82,0.44,0.67,0.85
1207,1.00,0.67,0.68,0.73,0.43,0.57,0.55,0.10,0.66,0.33,0.78,0.73,0.78,0.62,0.90,0.85
105,0.60,0.65,0.58,1.00,0.50,0.41,0.61,0.10,0.55,0.97,0.57,0.22,0.55,0.56,0.98,0.85
1840,0.57,0.45,1.00,0.65,0.47,0.43,0.10,0.27,0.55,0.69,0.31,0.33,0.60,0.38,0.65,0.85
1343,0.68,1.00,0.18,0.41,0.17,0.13,0.20,0.49,0.44,0.16,0.91,0.10,0.53,0.18,0.90,0.85
2558,0.86,0.57,0.98,0.76,0.55,0.52,0.43,0.10,0.73,0.45,0.80,0.52,1.00,0.49,0.86,0.85
1861,0.38,0.10,0.64,0.67,0.75,0.88,0.55,0.80,0.52,0.93,1.00,0.51,0.89,0.19,0.20,0.85
1820,0.83,0.57,0.53,0.88,0.59,0.26,0.95,0.35,0.89,0.45,0.40,0.37,0.10,0.74,1.00,0.85
1970,0.36,0.14,1.00,0.41,0.63,0.56,0.30,0.64,0.64,0.64,0.41,0.41,0.82,0.10,0.29,0.85
384,1.00,1.00,0.34,0.70,0.19,0.19,0.77,0.26,0.43,0.18,0.79,0.85,0.82,0.10,0.86,0.85
414,0.63,0.59,0.68,0.70,0.55,0.29,0.10,0.77,0.60,0.30,0.19,0.18,0.23,0.55,1.00,0.85
657,0.63,0.69,0.82,0.58,0.51,0.42,0.45,0.10,0.61,0.51,0.37,0.27,0.65,0.47,1.00,0.85
2338,0.10,0.66,0.81,0.35,0.91,1.00,0.32,0.72,0.63,0.56,0.44,0.31,0.90,0.34,0.86,0.85
2235,0.56,0.78,0.58,0.22,0.34,0.25,1.00,0.37,0.64,0.31,0.50,0.10,0.81,0.20,0.95,0.85
582,0.53,0.32,0.99,0.50,0.66,0.65,0.28,0.47,0.50,0.57,0.36,0.51,1.00,0.10,0.42,0.85
830,0.76,0.47,0.86,0.88,0.55,0.13,0.62,0.39,1.00,0.54,0.40,0.10,0.29,0.74,0.92,0.85
706,0.61,0.43,0.74,0.12,0.71,0.26,0.56,0.64,1.00,0.10,0.77,0.11,0.61,0.34,0.90,0.84
1748,0.63,0.44,0.39,0.92,0.26,0.19,1.00,0.48,0.42,0.10,0.41,0.39,0.24,0.24,0.49,0.84
1916,0.77,0.75,0.84,0.63,0.54,0.55,0.10,0.34,0.59,0.53,0.53,0.22,1.00,0.59,1.00,0.84
1303,0.60,0.65,0.79,0.59,0.42,0.28,0.42,0.30,0.78,0.10,0.49,0.33,0.80,0.47,1.00,0.84
1520,0.23,0.24,0.73,0.51,0.68,0.83,0.31,0.55,0.51,1.00,0.50,0.21,0.61,0.10,0.45,0.84
2327,0.77,0.50,1.00,0.50,0.22,0.14,0.12,0.60,0.56,0.21,0.42,0.75,0.76,0.10,0.42,0.84
173,0.57,0.76,0.10,0.23,0.34,0.29,0.31,0.54,0.31,0.38,0.43,0.22,0.23,0.29,1.00,0.84
1788,0.31,0.47,0.98,0.59,0.63,0.76,0.31,0.47,0.58,1.00,0.22,0.10,0.53,0.26,0.64,0.84
3321,0.52,0.29,0.90,0.58,0.80,1.00,0.42,0.40,0.50,0.76,0.45,0.62,0.31,0.10,0.37,0.84
2402,0.71,0.47,0.73,0.36,0.35,0.35,0.37,0.44,0.48,0.11,0.43,1.00,0.66,0.10,0.31,0.84
3145,0.26,0.10,0.58,0.50,0.52,0.30,1.00,0.54,0.59,0.56,0.40,0.35,0.48,0.27,0.22,0.84
1561,0.71,0.59,1.00,0.68,0.49,0.51,0.82,0.10,0.71,0.27,0.50,0.56,1.00,0.34,0.68,0.84
3175,0.75,0.78,0.14,0.82,0.47,0.60,0.63,0.10,0.36,0.69,1.00,0.58,0.55,0.69,0.70,0.84
1462,0.78,0.56,0.31,0.64,0.45,1.00,0.59,0.36,0.48,0.14,0.91,0.57,0.96,0.10,0.63,0.84
167,0.48,0.45,1.00,0.47,0.53,0.42,0.26,0.26,0.60,0.51,0.10,0.38,0.44,0.16,0.68,0.84
2142,0.69,0.31,0.65,0.20,0.38,0.10,0.26,0.35,0.59,0.54,1.00,0.58,0.69,0.12,0.16,0.84
3183,0.35,0.51,1.00,0.33,0.82,0.70,0.31,0.49,0.63,0.63,0.11,0.10,0.36,0.25,0.61,0.84
326,0.51,0.10,0.68,0.43,0.53,0.30,0.83,0.43,1.00,0.11,0.54,0.44,0.48,0.28,0.36,0.84
452,0.50,0.62,0.39,0.78,0.29,0.32,0.61,0.10,0.47,0.21,1.00,0.66,0.53,0.38,0.57,0.84
772,0.45,0.10,1.00,0.53,0.67,0.50,0.34,0.65,0.81,0.47,0.44,0.24,0.83,0.37,0.46,0.84
1873,0.54,0.80,0.78,0.52,0.34,0.32,0.75,0.10,0.59,0.15,0.66,0.42,1.00,0.28,0.72,0.84
1646,0.59,0.22,1.00,0.47,0.61,0.51,0.40,0.29,0.99,0.62,0.37,0.10,0.59,0.38,0.54,0.84
3282,0.63,0.53,0.99,0.50,0.49,0.53,0.26,0.30,0.59,0.26,0.57,1.00,0.65,0.22,0.10,0.84
1984,0.78,0.61,0.87,0.60,0.40,0.44,0.10,0.41,0.56,0.55,0.29,0.45,1.00,0.35,0.92,0.84
1738,0.76,0.65,0.64,0.75,0.49,0.31,0.55,0.10,0.53,0.62,0.53,0.31,0.44,0.62,1.00,0.84
2164,0.73,0.50,0.84,0.72,0.77,0.51,0.10,0.48,0.83,0.55,0.20,0.29,0.36,0.64,1.00,0.84
102,0.82,0.54,0.35,0.18,0.88,0.90,0.89,0.96,0.60,0.96,0.14,1.00,0.22,0.10,0.82,0.84
1075,0.76,0.80,0.87,1.00,0.42,0.10,0.73,0.24,0.75,0.22,0.72,0.27,0.89,0.66,0.97,0.84
767,0.30,0.12,0.18,1.00,0.72,0.30,0.68,0.52,0.73,0.53,0.51,0.10,0.15,0.35,0.25,0.84
890,0.31,0.42,0.39,0.37,0.61,0.75,0.77,1.00,0.34,0.91,0.13,0.28,0.11,0.10,0.10,0.84
2894,0.53,0.44,1.00,0.56,0.47,0.34,0.23,0.46,0.78,0.67,0.44,0.10,0.62,0.40,1.00,0.84
3371,0.34,0.25,0.89,0.59,0.61,0.43,0.32,0.40,1.00,0.88,0.10,0.26,0.62,0.33,0.60,0.84
3086,0.86,0.42,0.64,0.99,0.36,0.10,0.60,0.41,1.00,0.25,0.43,0.27,0.12,0.61,0.76,0.84
3085,0.48,0.26,1.00,0.57,0.56,0.50,0.56,0.36,0.68,0.38,0.47,0.16,0.78,0.10,0.68,0.84
585,0.51,0.85,0.54,0.42,0.31,0.34,0.56,0.29,0.65,0.17,0.72,0.10,0.77,0.53,1.00,0.84
2044,0.98,0.59,1.00,0.45,0.35,0.33,0.27,0.41,0.81,0.10,0.69,0.99,0.96,0.15,0.41,0.84
614,0.91,0.74,0.71,0.64,0.18,0.24,0.67,0.53,0.40,0.35,0.59,0.10,0.45,0.57,1.00,0.84
2331,0.34,0.41,1.00,0.49,0.59,0.47,0.44,0.10,0.65,0.61,0.49,0.29,0.63,0.35,0.54,0.84
1066,0.77,0.39,0.43,0.17,0.56,0.83,0.96,0.55,0.48,0.68,1.00,0.91,0.85,0.10,0.25,0.84
2120,0.92,0.78,0.68,0.52,0.36,0.47,0.93,0.10,0.49,0.59,0.66,0.67,1.00,0.24,0.97,0.84
3104,0.85,0.54,0.54,0.78,0.79,0.38,0.94,0.10,0.92,0.28,1.00,0.49,0.33,0.70,0.84,0.84
705,0.46,0.50,1.00,0.31,0.48,0.46,0.12,0.46,0.65,0.46,0.10,0.38,0.61,0.35,0.66,0.84
1025,0.78,0.65,1.00,0.87,0.66,0.61,0.34,0.36,0.68,0.74,0.10,0.17,0.29,0.51,0.97,0.84
2220,0.33,0.13,0.33,0.32,0.79,0.53,1.00,0.72,0.95,0.48,0.37,0.10,0.19,0.15,0.22,0.84
1718,0.41,0.37,1.00,0.62,0.58,0.47,0.10,0.39,0.55,0.73,0.20,0.34,0.55,0.32,0.58,0.84
1316,0.48,0.54,0.77,0.51,0.50,0.42,0.47,0.10,0.69,0.66,0.61,0.23,0.65,0.43,1.00,0.84
2254,0.62,0.56,0.81,0.69,0.52,0.52,0.60,0.10,0.73,0.34,0.58,0.51,1.00,0.54,0.82,0.84
3205,0.84,0.65,1.00,0.70,0.74,0.19,0.76,0.42,0.80,0.62,0.48,0.10,0.28,0.87,1.00,0.84
605,0.50,0.10,0.54,0.18,0.48,0.32,0.57,0.42,1.00,0.18,0.78,0.29,0.43,0.13,0.42,0.84
370,0.27,0.10,0.50,0.49,1.00,0.46,0.46,0.59,0.97,0.63,0.21,0.17,0.28,0.33,0.49,0.84
2230,0.64,0.34,0.39,0.64,0.23,0.55,1.00,0.45,0.38,0.47,0.56,0.84,0.53,0.10,0.63,0.84
1255,1.00,0.50,0.53,0.36,0.50,0.56,0.62,0.51,0.32,0.13,0.84,0.67,0.79,0.10,0.77,0.84
740,0.31,0.41,1.00,0.64,0.59,0.56,0.11,0.35,0.65,0.62,0.10,0.36,0.61,0.12,0.52,0.84
2906,0.53,0.56,0.37,0.47,0.40,0.26,0.55,0.10,0.47,0.56,0.68,0.32,0.37,0.24,1.00,0.84
2470,0.47,0.46,0.83,0.39,1.00,0.97,0.27,0.50,0.70,0.50,0.10,0.25,0.28,0.24,0.52,0.84
1450,0.31,0.33,0.71,0.43,0.51,0.44,0.35,0.48,0.49,1.00,0.10,0.10,0.29,0.21,0.53,0.84
218,0.50,0.39,1.00,0.69,0.67,0.41,0.25,0.36,0.61,0.56,0.20,0.10,0.52,0.38,0.68,0.84
1853,0.35,0.10,0.42,0.30,0.41,0.51,0.31,1.00,0.46,0.73,0.23,0.47,0.19,0.20,0.35,0.84
1093,0.74,0.55,0.92,0.75,0.57,0.42,0.57,0.10,0.92,0.56,0.32,0.29,0.63,0.58,1.00,0.84
1123,0.80,0.78,1.00,0.62,0.48,0.34,0.10,0.25,0.56,0.57,0.22,0.19,0.46,0.37,0.91,0.84
1892,0.20,0.32,0.19,0.28,0.65,0.59,1.00,0.88,0.75,0.28,0.16,0.33,0.21,0.10,0.15,0.84
1891,0.48,0.59,0.79,0.40,0.49,0.46,0.48,0.10,0.82,0.68,0.44,0.35,0.85,0.39,1.00,0.84
43,0.77,0.27,0.38,0.38,0.30,0.46,0.45,0.23,0.51,0.23,1.00,0.53,0.53,0.10,0.20,0.84
3015,0.66,0.67,0.65,0.36,0.50,0.36,0.30,0.33,0.57,0.47,0.10,0.11,0.32,0.37,1.00,0.84
2431,0.73,0.56,0.93,0.67,0.63,0.71,0.61,0.10,0.74,0.36,0.67,0.64,1.00,0.54,0.83,0.84
931,0.77,0.46,0.55,0.51,0.40,0.60,0.59,0.10,0.68,0.49,0.97,0.59,1.00,0.17,0.83,0.84
880,0.20,0.25,0.44,0.31,0.75,1.00,0.41,0.53,0.58,0.46,0.32,0.35,0.37,0.10,0.17,0.84
2200,0.61,0.37,0.73,0.48,0.48,0.42,0.44,0.10,0.67,0.45,0.66,0.36,1.00,0.36,0.60,0.84
279,0.27,0.29,0.22,0.21,0.43,0.33,0.23,1.00,0.27,0.24,0.23,0.17,0.10,0.16,0.35,0.84
962,0.42,0.41,0.67,0.44,0.54,0.60,0.38,0.31,0.40,1.00,0.10,0.30,0.17,0.30,0.28,0.84
1551,0.69,0.83,0.36,0.10,0.44,0.67,0.92,0.74,0.34,0.45,0.67,0.17,0.63,0.56,1.00,0.84
2859,0.48,0.90,0.92,0.32,0.43,0.35,0.57,0.45,0.60,0.10,0.76,0.24,1.00,0.60,0.82,0.84
724,0.23,0.24,0.87,0.47,0.90,0.44,0.80,0.36,1.00,0.68,0.33,0.10,0.43,0.23,0.45,0.84
807,0.66,0.31,0.99,0.47,0.91,0.88,0.17,0.39,1.00,0.46,0.87,0.14,0.53,0.10,0.74,0.84
2672,0.61,0.36,0.73,0.49,0.48,0.42,0.44,0.10,0.68,0.44,0.66,0.36,1.00,0.36,0.60,0.84
106,0.67,0.34,0.78,1.00,0.60,0.40,0.91,0.10,0.76,0.54,0.51,0.44,0.36,0.60,0.56,0.84
3160,0.51,0.35,0.63,1.00,0.31,0.24,0.43,0.10,0.60,0.41,0.41,0.36,0.45,0.46,0.49,0.84
1808,0.67,0.73,1.00,0.84,0.56,0.43,0.15,0.36,0.78,0.58,0.10,0.45,0.39,0.65,0.99,0.84
3204,1.00,0.69,0.84,0.74,0.51,0.37,0.47,0.38,0.77,0.41,0.10,0.72,0.10,0.56,0.98,0.84
2027,0.40,0.16,1.00,0.49,0.66,0.74,0.21,0.66,0.68,0.51,0.45,0.15,0.76,0.10,0.30,0.84
3253,0.64,0.54,0.66,0.51,0.44,0.31,0.26,0.26,0.58,0.46,0.42,0.10,0.28,0.44,1.00,0.84
2999,0.68,0.83,0.70,0.37,0.46,0.34,0.10,0.44,0.44,0.37,0.17,0.28,0.41,0.46,1.00,0.84
2131,0.73,0.50,0.77,0.57,0.53,0.19,0.33,0.40,0.83,0.16,0.47,0.10,0.55,0.49,1.00,0.84
20,0.33,0.30,1.00,0.69,0.59,0.48,0.10,0.77,0.76,0.48,0.23,0.71,0.61,0.47,0.68,0.84
681,0.84,0.59,0.49,0.55,0.61,0.46,0.32,0.75,0.56,0.48,0.23,0.10,0.41,0.86,1.00,0.84
1625,0.48,0.37,0.80,0.67,0.83,0.44,1.00,0.39,0.82,0.64,0.24,0.13,0.10,0.58,0.51,0.84
